Dealer Name	Location	Phone	Website Address																						
Specialist Cars Group	Birmingham	(07537) 165600	http://www.specialistcarsgroup.co.uk/																						
R A Motor Company	Birmingham	(0121) 721 8380	https://www.ramotorcompany.co.uk/																						
Prestige Automotives	Birmingham	(0121) 659 3275	https://www.prestige-automotives.co.uk/																						
EMC Trade Centre	Birmingham	(0121) 659 0756	https://www.emctradecentre.co.uk/																						
Mercedes-Benz of Birmingham	Birmingham	(0121) 659 5941	http://www.lshauto.co.uk/locations/1768/mercedes-benz-of-birmingham-used-cars/																						
Mercedes Benz of Birmingham Vans	Birmingham	(0121) 721 8537	https://www.lshauto.co.uk/locations/1768/mercedes-benz-of-birmingham-used-cars/																						
Johnsons Skoda Birmingham	Birmingham	(0121) 659 7881	http://www.johnsonscars.co.uk/skoda/used-cars/?utm_source=11&utm_medium=3&utm_campaign=CM001572-1																						
Birmingham Van Centre	Birmingham	(0121) 721 8348	https://www.birminghamvancentre.co.uk/																						
M And H Motors	Birmingham	(07537) 165738	https://www.mandhmotors.co.uk/																						
MW Motor Solutions Limited	Birmingham	(0121) 659 8231																							
Long Acre Car Sales	Birmingham	(0121) 721 0456																							
XCCELERATE AUTOMOTIVE LTD	Birmingham	(07537) 122126	http://xccelerateautomotive.co.uk/																						
Lookers Car Hub Star City	Birmingham	(0121) 721 8969	http://www.lookers.co.uk/vauxhall/																						
QC Trade Centre Birmingham	Birmingham	(07868) 787986	http://www.qctradecentrebirmingham.co.uk/																						
Fort Used Cars	Birmingham	(0121) 659 5127	http://www.fortauto.com/																						
Touchwood Motors	Birmingham	(07537) 124040	https://www.touchwoodmotors.co.uk/																						
Sutton Park Perry Barr	Birmingham	(0121) 721 9677	https://www.suttonparkgroup.co.uk/																						
The Motors	Birmingham	(07418) 690171																							
Sandhurst Motors	Birmingham	(0121) 659 1201																							
Audi Approved Erdington	Birmingham	(0121) 721 9357	https://www.stratstone.com/audi/used-cars/																						
Stratstone Land Rover Birmingham North	Birmingham	(0121) 659 5965	https://www.stratstone.com/land-rover/																						
Stellantis &You Birmingham North	Birmingham	(0121) 659 7917	https://www.stellantisandyou.co.uk/used-vehicles/dealer/birmingham-north																						
Hayes Motor Group	Birmingham	(07537) 123377	http://www.hayesmotorgroup.co.uk/																						
Motorpoint Birmingham	Birmingham	(0121) 659 7837	http://www.motorpoint.co.uk/																						
Wixford Motor Company	Birmingham	(0121) 659 0758	https://www.wixfordmotorco.co.uk/																						
G.W.C	Birmingham	(0121) 659 7098	http://gwconline.co.uk/																						
HRM Motors	Birmingham	(0121) 659 3642	https://www.hrmmotors.co.uk/																						
IMV MOTORS LTD	Sutton Coldfield	(07588) 768352																							
Steven Eagell Birmingham	Birmingham	(0121) 659 3086	https://www.steveneagell.co.uk/toyota																						
Lamborghini Birmingham	Birmingham	(0121) 721 8277	http://www.sytner.co.uk/lamborghini/car-search/birmingham?utm_medium=aggregator&utm_source=autotrader&utm_campaign=uvl_link																						
Bentley Birmingham	Birmingham	(0121) 721 8293	https://www.sytner.co.uk/bentley/dealerships/birmingham/car-search/?utm_medium=aggregator&utm_source=autotrader&utm_campaign=uvl_link																						
Lexus Birmingham	Birmingham	(0121) 659 5139	https://www.steveneagelllexus.co.uk/locations/7227/lexus-birmingham/																						
DN Motors Birmingham	Birmingham	(07441) 906361																							
GENERAL MOTORS	Birmingham	(07537) 125299																							
Sutton Trade Carz	Birmingham	(07537) 122434	https://www.suttontradecarz.co.uk/																						
Eminence Motors Ltd	Birmingham	(07537) 125040	https://www.eminence-motors.co.uk/																						
Ultra Line Cars Ltd	Birmingham	(07308) 307499																							
AMH CARS BHAM LTD	Birmingham	(0121) 659 5039	http://www.amhcars.co.uk/																						
Group 7 Cars	Birmingham	(0121) 659 9589																							
Hillside Specialist Cars	Birmingham	(07457) 401045	https://hillsidespecialistcars.co.uk/																						
XCLUSIVE AUTOMOTIVE GROUP LIMITED	Birmingham	(07441) 900375																							
GHB Performance Ltd	Birmingham	(07897) 071367	https://www.ghbperformance.co.uk/																						
Smart Motors	Birmingham	(0121) 659 9256	https://www.smart-motors.co.uk/																						
AMW Autos Birmingham Limited	Birmingham	(07537) 122959	http://www.amwautosbirmingham.co.uk/																						
Plaistow Cars	Birmingham	(07537) 122307																							
Halesowen Trade Centre Ltd	Birmingham	(07822) 001262	http://halesowentradecentreltd.co.uk/																						
ADDERLEY TRADE CENTRE LTD	Birmingham	(07418) 690125																							
AGILE CARS LTD	Birmingham	(07588) 858330																							
Premier Car Sales	Birmingham	(07723) 520097	http://www.premiercarsaleswestmidlands.co.uk/																						
Autobay	Birmingham	(07723) 543816	https://www.autobaydrive.co.uk/																						
Carwayss	Birmingham	(07537) 124490	https://www.carwayss.co.uk/																						
Car 4 You Limited	Birmingham	(07723) 070856																							
Johnsons Volkswagen Sutton Coldfield	Sutton Coldfield	(0121) 659 5954	http://www.johnsonscars.co.uk/volkswagen/used-cars/?ito=LBC200602/?utm_source=11&utm_medium=3&utm_campaign=CM001572-1																						
Volkswagen Van Centre B'ham (Swansway Garages)	Birmingham	(0121) 659 7694	https://www.swanswaygarages.com/volkswagen-commercial/used-vans/																						
Johnsons Hyundai Sutton Coldfield	Sutton Coldfield	(0121) 659 7698	http://www.johnsonscars.co.uk/hyundai																						
Heartlands Motors Ltd	Birmingham	(07537) 123579																							
BEST CHOICE HIRE LTD	Birmingham	(07307) 539858	https://www.bestchoicehire.co.uk/																						
JY Autos	Birmingham	(07361) 617027																							
Trust Ford Birmingham	Birmingham	(0121) 659 6199	https://www.trustford.co.uk/locations/1854/birmingham-erdington/																						
Trust Ford Birmingham Transit Centre	Birmingham	(0121) 659 6198	https://www.trustford.co.uk/transit-centre/locations/1855/birmingham-transit-centre/																						
ZRZ Motors	Birmingham	(07418) 690195	https://zrzmotors.co.uk/store/																						
Second City Cars & Commercials	Birmingham	(07418) 690357																							
ZAK MOTORING LTD	Birmingham	(07441) 906182																							
Drivers Choice Limited	Birmingham	(07897) 079915																							
Paul Rigby MG	Birmingham	(0121) 721 3698	https://www.paulrigbygroup.co.uk/mg																						
Paul Rigby Birmingham	Birmingham	(0121) 659 5649	https://www.paulrigbygroup.co.uk/?utm_source=11&utm_medium=3&utm_campaign=CM008971-1																						
Kingstanding Car Sales	Birmingham	(07537) 122049	http://www.kingstandingcarsales.com/																						
Newtown Autos Ltd	Birmingham	(07441) 936683																							
Car Sale House	Birmingham	(07822) 001324	https://www.carsalehouse.co.uk/																						
A1 MOTOR GRAND LTD	Birmingham	(07441) 900313	https://www.a1mg.co.uk/																						
JMC Sutton	Sutton Coldfield	(07441) 911302	http://www.jmcsutton.com/																						
Midlands Motors	Birmingham	(0121) 721 8381	http://www.midlandsmotorsltd.co.uk/																						
Fame Cars Ltd	Birmingham	(07360) 540263	http://www.famecarsltd.co.uk/																						
Spring Motors Ltd	Birmingham	(07537) 165047																							
WMG Trade Centre	Birmingham	(0121) 659 1969	https://www.wmgtradecentre.co.uk/																						
MI Motor Company	Birmingham	(07822) 001235																							
Johnsons Volkswagen Birmingham	Birmingham	(0121) 659 7667	http://www.johnsonscars.co.uk/volkswagen/used-cars/?ito=LBC200602/?utm_source=11&utm_medium=3&utm_campaign=CM001572-1																						
A TO Z MOTORS SPECIALIST LTD	Birmingham	(07379) 799425	https://www.atozmotors.uk/																						
CANAL SIDE MOTORS UK LTD	Birmingham	(07418) 690402	http://www.canalsidemotorsukltd.co.uk/																						
A C DEALER LTD	Birmingham	(0121) 659 1037	https://alltoncars.co.uk/																						
DC Car Sales	Birmingham	(07537) 145565																							
Exclusive Cars (GB) Limited	Birmingham	(0121) 659 7991	https://www.exclusivecarsgb.co.uk/																						
Autoemocion	Birmingham	(07537) 165197	http://www.autoemocion.co.uk/																						
Mid Car Trade Centre	Birmingham	(07897) 073455	https://midtradecentre.co.uk/																						
USED CARS SUPERMARKET LTD	Birmingham	(07537) 125451	http://usedcarssupermarketltd.co.uk/																						
Top Car Sales	Birmingham	(07441) 900403																							
SK Motor Trade Ltd	Birmingham	(0121) 721 0110	http://www.skmotortrade.co.uk/																						
Distinto Cars & Classics	Birmingham	(0121) 659 8536																							
Apex Motors	Birmingham	(0121) 659 1633	http://apexmotorsbham.co.uk/																						
LAA Storage Ltd	Birmingham	(07426) 049751																							
SIGMA CAR SALES LTD	Birmingham	(0121) 721 5889	https://www.sigmacarsbirmingham.co.uk/																						
Pre5tige Cars Limited	Birmingham	(07537) 165096	http://www.pre5tigecars.co.uk/																						
James Bentley Motors	Birmingham	(07588) 726610	https://www.jamesbentleymotors.co.uk/																						
EDGBASTON SELECT LIMITED	Birmingham	(0121) 721 8189	https://www.edgbastonselect.co.uk/																						
Premium Automotive Limited	Birmingham	(07773) 316593	https://www.premiumautomotiveltd.co.uk/																						
East Side Motors	Birmingham	(0121) 721 8548	http://www.eastsidemotors.co.uk/																						
Silverstone Motor Company Limited	Birmingham	(07441) 900495	https://www.silverstonemotorcompany.com/																						
Stratstone BYD Birmingham	Birmingham	(0121) 659 2608	https://www.stratstone.com/																						
MNK Motors	Birmingham	(07537) 165924	http://www.mnkmotors.co.uk/																						
Z A Motors	Birmingham	(0121) 721 2894																							
Autotrade (Birmingham) Ltd	Sutton Coldfield	(0121) 721 9565	https://www.autotrade-birmingham.co.uk/																						
ASU Cars Limited	Birmingham	(07441) 909050	http://www.asucarsltd.co.uk/																						
Great Car Deals	Birmingham	(0121) 721 0626																							
Deritend Motors	Birmingham	(07723) 530727																							
Highway Sales Ltd	Birmingham	(0121) 721 7098	http://www.highwaysalesltd.co.uk/																						
Stellantis &You Birmingham Central	Birmingham	(0121) 659 7918	https://www.stellantisandyou.co.uk/used-vehicles/dealer/birmingham-central																						
RUR Cars Ltd	Birmingham	(07537) 125487	https://www.rurcarsltd.co.uk/																						
GMC MOTORS B'HAM LIMITED	Birmingham	(07723) 526519	https://www.gmcmotors.co.uk/																						
Evolution Motor House Ltd	Birmingham	(0121) 659 5172																							
SIAK CARS LTD	Birmingham	(07441) 906140	https://www.siakcars.co.uk/																						
Dynamic Performance Cars Ltd	Birmingham	(0121) 721 8310	https://www.dynamicperformancecars.co.uk/																						
Hiline Motors	Birmingham	(07418) 690502	https://www.hilinemotors.co.uk/																						
EVERYDAY VEHICLES LTD	Birmingham	(07537) 122428	https://www.everydayvehicles.co.uk/used/cars/birmingham/																						
MST Trade Centre Ltd	Small Heath	(0121) 721 8209	http://www.mstradecentre.co.uk/																						
Sutton Park Sutton Coldfield	Sutton Coldfield	(0121) 659 7830	https://www.suttonparkgroup.co.uk/																						
MWK Motors Limited	Birmingham	(0121) 366 0868																							
First Motors	Birmingham	(07441) 906696	https://www.firststreetmotors.co.uk/																						
Vicks Motors Ltd	Birmingham	(07476) 017876	http://www.vicksmotors.co.uk/																						
Unique Motors	Birmingham	(07822) 001670	http://www.unique-motors.co.uk/																						
Balaj Motors	Birmingham	(07537) 145520	https://balajmotors.co.uk/																						
Johnsons Ford Sutton Coldfield	Sutton Coldfield	(0121) 721 9139	https://www.johnsonscars.co.uk/ford/																						
Auto Smartltd Ltd	Birmingham	(07537) 165855	http://www.autosmarts.co.uk/																						
Porsche Centre Sutton Coldfield	Sutton Coldfield	(0121) 721 8675	https://www.porschesuttoncoldfield.co.uk/																						
JAPANESE MPV MOTORS LIMITED	Birmingham	(0121) 659 6185	https://www.japanesempvmotors.co.uk/used_cars_mpv																						
oughton motors limited	Birmingham	(07868) 791652																							
Hope and Hope Ltd	Sutton Coldfield	(07537) 165373																							
Bristol Street Motors Ford Birmingham Commercials	Birmingham	(0121) 721 8612	https://www.bristolstreet.co.uk/used-vans/?utm_source=autotrader&utm_medium=referral&utm_campaign=thirdparty																						
Bristol Street Motors Ford Birmingham	Birmingham	(0121) 721 8613	https://www.bristolstreet.co.uk/used-cars/?utm_source=autotrader&utm_medium=referral&utm_campaign=thirdparty																						
Midland Automobiles Ltd	Birmingham	(07537) 124354	http://www.midlandautomobiles.co.uk/																						
M A Performance Cars	Sutton Coldfield	(0121) 659 4904	http://www.maperformancecars.co.uk/																						
FR Car Sales	Birmingham	(07367) 592332																							
MSL Trade Centre	Birmingham	(0121) 721 8285	https://www.msltradecentre.co.uk/																						
Indus Car Sales Ltd	Birmingham	(07537) 164761																							
Triple A Motors	Birmingham	(07537) 165049																							
TM UK Trading Birmingham	Birmingham	(07537) 122899	https://www.tmuktrading.co.uk/																						
Midlands Select Autos	Birmingham	(07585) 619511	https://www.midlandsselectautos.co.uk/																						
Mb Automobiles	Sutton Coldfield	(0121) 659 7070	https://www.mbautomobiles.co.uk/																						
Midlands Trade Direct	Birmingham	(0121) 659 7118																							
Solihull Motors Ltd	Birmingham	(07822) 001305	http://solihullmotorsltd.co.uk/																						
Atlas Motors	Birmingham	(0121) 659 9952	http://www.atlasmotors.co.uk/																						
Carporium Ltd	Birmingham	(07441) 900317																							
Midlands Trade Centre Limited	Birmingham	(07537) 122789	https://www.midlandstradecentreltd.co.uk/																						
Laysa Ltd	Birmingham	(07418) 690174	http://www.laysaltd.co.uk/																						
Car Central	Birmingham	(07588) 767749	https://www.carcentralbrum.co.uk/																						
Imperial Motor Sales Ltd	Birmingham	(07482) 873833	http://www.imperialmotorsalesltd.co.uk/																						
IMPERIAL MOTORS	Birmingham	(0121) 721 5560	https://www.imperialmotors.uk/																						
DRIVELUXX LTD	Birmingham	(0121) 659 1743	http://www.drivelux.uk/																						
L Foster Autos Ltd	Birmingham	(0121) 721 8224	https://www.lfosterautos.co.uk/																						
Autohaus Birmingham	Birmingham	(0121) 721 0703	https://www.autohausbirmingham.co.uk/																						
Orchard Motor Group	Birmingham	(0121) 659 7987	http://www.orchardmotorgroup.co.uk/																						
R R R MOTORS LIMITED	Birmingham	(07537) 123516																							
Motor Capital	Birmingham	(07822) 001669	http://www.motorcapital.co.uk/																						
Car Fleet Birmingham	Birmingham	(07537) 125154																							
Meadway Autoland	Birmingham	(07537) 122489	http://www.meadwayautoland.co.uk/																						
Amir Automotive Solutions Limited	Sparkhill	(07418) 690132	https://www.amirautomotivesolutions.co.uk/																						
AR Car Lot Ltd	Birmingham	(07537) 145687																							
Revolve Collections Ltd	Birmingham	(07537) 124469	https://www.revolvecollections.co.uk/																						
Assured Cars Supermarket Ltd (Birmingham)	Birmingham	(0121) 721 6192	https://www.acslltd.co.uk/																						
APEX AUTOHAUS LTD	Smethwick	(07537) 145546	https://www.apexautohaus.co.uk/																						
Digbeth Motor Sales Ltd	Birmingham	(07457) 401460	https://www.digbethmotorsales.co.uk/																						
UK SMT LTD	Birmingham	(07441) 900450																							
PJ Commercial	Smethwick	(0121) 721 3544	https://www.pjcommercial.com/																						
Motorhouse Uk	Birmingham	(07441) 906201	https://www.motorhouseuk.co.uk/																						
SUPREMECARS WESTMIDLANDS LIMITED	Birmingham	(07537) 125385																							
United Traders Limited	Birmingham	(07537) 123119	http://www.united-traders.co.uk/																						
Brayley Nissan Birmingham	Sutton Coldfield	(0121) 659 6475	https://www.brayleys.co.uk/nissan																						
YARDLEY MOTOR TRADE LTD	Birmingham	(07537) 165979	https://www.yardleymotortrade.co.uk/																						
SW Autoz LTD	Birmingham	(07537) 165088	http://www.swautoz.co.uk/																						
Friendly Motors Ltd	Birmingham	(07537) 165093	https://www.friendlymotors.co.uk/cars/																						
Manor Farm Cars Ltd	Birmingham	(07457) 401364	https://www.mnorfarmcars.co.uk/																						
DK Motors	Birmingham	(07723) 530632	http://www.dkmotorsbirminghamltd.co.uk/																						
Select A Car	Birmingham	(07441) 908386																							
Car Motor Specialists	Smethwick	(07537) 165347																							
Quality Cars and Commercials Ltd	Birmingham	(07537) 122112	http://www.qualitycarsandcommercials.co.uk/																						
Radley Motors Company	Garretts Green	(07480) 721805	https://www.radleymotorco.co.uk/																						
King Street Motors	Smethwick	(07723) 515281																							
ADI Car Sales Ltd	Birmingham	(07868) 789941	https://adicarsalesltd.co.uk/																						
Swanz Motors Limited	Birmingham	(07537) 123026	https://www.swanzmotors.co.uk/																						
SNT Commercials	Birmingham	(07537) 164634																							
Highfield Motor Company	Birmingham	(07537) 125429																							
W M motors	Birmingham	(07537) 122506																							
West Midlands Motors	Birmingham	(0121) 721 8303	http://www.westmidlandsmotors.co.uk/																						
Your Car Supermarket	Birmingham	(0121) 721 8228	http://www.yourcarsupermarket.com/																						
Jan London Trade Limited	Birmingham	(0121) 659 2867	https://janlondontrade.co.uk/																						
Wynford Specialist Motors Limited	Birmingham	(07537) 124882	https://www.wynfordmotorsbirmingham.co.uk/																						
Junction 9 Commercials Limited	Sutton Coldfield	(0121) 659 8060	https://junction9commercials.co.uk/																						
Birmingham Cars Ltd	Birmingham	(0121) 721 5770	https://birminghamcarsltd.co.uk/																						
Percy Motors Birmingham Ltd	Birmingham	(07537) 124836																							
DJH Prestige and Sports	Sutton Coldfield	(07537) 122073	https://www.djhprestigeandsports.co.uk/																						
M3SSA Autohouse	Birmingham	(07822) 001629	https://www.m3ssaautohouse.co.uk/																						
Timeless Automotive	Sutton Coldfield	(07418) 690124	https://store-my-car.co.uk/																						
H A PERFORMANCE LIMITED	Birmingham	(0121) 721 8020	http://www.haperformance.co.uk/																						
51 X Ltd	Birmingham	(07441) 906623	http://www.51xltd.com/																						
Ace4cars Limited	Birmingham	(0121) 721 8211	http://www.ace4carsltd.co.uk/																						
DHDL Automotive	Sutton Coldfield	(07537) 122210	http://www.dhdlautomotive.co.uk/																						
Westley Motor Co	Birmingham	(0121) 721 8267	http://www.westleymotor.co.uk/																						
Acocks Green Motor Company	Birmingham	(07426) 922982	https://www.acocksgreenmotorcompany.co.uk/																						
Platinum Motor Sales	West Bromwich	(07723) 506742	https://platinummotorsales.co.uk/																						
ZCI Motors	Birmingham	(07441) 906499																							
Alliance Motors Uk Ltd	West Bromwich	(07971) 105013	https://www.alliancemotorsuk.co.uk/																						
Ian Farrell Motor Co	Birmingham	(07588) 748018	https://www.ianfarrellmotorcompany.co.uk/																						
Dunsmore Motor Company	Birmingham	(07537) 145639	http://dunsmoremotorcompany.co.uk/																						
PCF Cars	Birmingham	(07822) 001542	https://www.pcfcars.co.uk/																						
Rose Motors	Sutton Coldfield	(0121) 659 3949	https://www.rosemotorsltd.co.uk/																						
River Motorhomes Limited	Sutton Coldfield	(0330) 8080805	https://www.rivermotorhomes.co.uk/																						
Automotive Performance Ltd	Smethwick	(0121) 659 3923																							
Motorworld	West Bromwich	(0121) 721 9628	http://www.motorworldltd.co.uk/																						
Aubrey Motor Company	Birmingham	(0121) 721 2307																							
Bearwood Auto Sales	Smethwick	(07441) 923191																							
NO.1 CAR SALES UK LTD	Birmingham	(07537) 123454																							
Solihull Motor House Ltd	Solihull	(07537) 145586	http://www.solihullmotorhouseltd.co.uk/																						
Ping Vehicles	Solihull	(07537) 165053	https://pingvehicles.com/																						
AUTO HUB & TRADING LTD	West Bromwich	(07537) 123121	http://www.autohubtrading.co.uk/																						
Howitts Motors	Birmingham	(07537) 124548																							
Love Alfa	Smethwick	(0121) 721 8352	http://www.lovealfa.co.uk/																						
Cloud Cars Specialist	Solihull	(0121) 659 4015																							
Tom Poole Cars	Sutton Coldfield	(0121) 721 8328	https://www.tompoolecars.co.uk/																						
Harrisons Regal Garage Ltd	Sutton Coldfield	(0121) 721 8377	http://www.harrisoncommercials.co.uk/																						
Hagley Motors	Oldbury	(07441) 906583																							
W.D.M. Cars	Walsall	(0121) 721 8217	https://www.wdmcarsmercedesspecialist.co.uk/																						
Sutton Car Sales Ltd	Sutton Coldfield	(0121) 721 1675	http://suttoncarsalesltd.co.uk/																						
Oakways Car Sales	Sutton Coldfield	(07480) 022548	http://www.oakwayscarsales.co.uk/																						
Imperial Specialist Cars	Birmingham	(0121) 721 2603	https://www.imperialspecialistcars.co.uk/																						
Good Buy Motors	West Bromwich	(07822) 001453																							
Hyundai Birmingham West	Birmingham	(0121) 721 9899	http://www.hyundaibirmingham.co.uk/																						
Stellantis &You Birmingham South	Birmingham	(01245) 378766	https://www.stellantisandyou.co.uk/used-vehicles/dealer/birmingham-south																						
Smallbone And Son	Birmingham	(0121) 721 8247	http://www.smallboneandson.co.uk/																						
Malen Car & Van Sales	Tamworth	(0121) 659 2080	http://www.malencarsales.co.uk/																						
Arbury Fiat Walsall	Aldridge	(01922) 345773	http://www.arbury.co.uk/																						
Arbury Peugeot Walsall	Walsall	(01922) 345751	http://www.arbury.co.uk/																						
Mosaso	Oldbury	(07537) 164613																							
BESTWAY MOTORS LTD	Walstead Road West	(07441) 906198	https://www.bestwaymotors.co.uk/																						
Mercedes-Benz of Solihull	Solihull	(0121) 659 5937	http://www.lshauto.co.uk/locations/1773/mercedes-benz-of-solihull-sales/																						
Brook Williams Prestige	Birmingham	(07480) 722921	https://www.brookwilliamsprestige.co.uk/																						
Middleton car group	Tamworth	(07537) 122786	http://middletoncargroup.co.uk/																						
Twyford Motor Company Ltd	Tamworth	(07537) 165758	http://www.twyfordmotorcompanyltd.co.uk/																						
Coleshill Car Sales	Birmingham	(024) 7511 8695	http://www.coleshillcarsales.co.uk/																						
Arden Collective Limited	Sutton Coldfield	(0121) 659 4487	https://www.ardencollective.co.uk/																						
Hadley Motor Group Ltd	West Bromwich	(0121) 721 1269																							
Warun Specialist Cars	Birmingham	(07723) 507571																							
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									